( 43d7, 4b8b ) ( 1797, 4b8b )
( 4c31, 5fbf ) ( 2c51, 5fbf )
( 5ef, 3415 ) ( b17, 3415 )
( 5c09, 70eb ) ( 5c09, 70eb )
( 2cf5, 34d9 ) ( 2725, 34d9 )
( 1ed9, 4fe5 ) ( 2029, 4fe5 )
( 3711, 469f ) ( fc1, 469f )
( 1193, 373d ) ( 11f, 373d )
( be7, 2d35 ) ( 1e8f, 2d35 )
( 46d3, 53c9 ) ( 465b, 53c9 )
( 5a33, 5bed ) ( 1a9b, 5bed )
( 143, 826d ) ( 756b, 826d )
( 6c65, 752f ) ( 815, 752f )
( 14db, 1705 ) ( 1477, 1705 )
( 122b, 36c1 ) ( 817, 36c1 )
( 206f, 60f7 ) ( 1c4f, 60f7 )
( 2bdf, 68cb ) ( 329f, 68cb )
( 6913, afa9 ) ( d1b, afa9 )
( 2ef7, 59d7 ) ( 4067, 59d7 )
( cdb, 2d8b ) ( 1de3, 2d8b )
( 1ee5, 2455 ) ( 1e9, 2455 )
( 5df7, 62b9 ) ( 4063, 62b9 )
( 68d1, a81f ) ( 4fb1, a81f )
( 2869, afa9 ) ( 3fd9, afa9 )
( 379d, 4267 ) ( 7b5, 4267 )
( 750b, b5b1 ) ( 9aa3, b5b1 )
( 35dd, 81cb ) ( 3205, 81cb )
( 20e7, 31fd ) ( 1583, 31fd )
( 46f7, e0ff ) ( d307, e0ff )
( 7147, a8fb ) ( 2827, a8fb )
( 2489, 2d8f ) ( 18e9, 2d8f )
( 363d, 484f ) ( 2c4d, 484f )
( 1bf1, 2e7b ) ( 1081, 2e7b )
( 5db9, a661 ) ( 449, a661 )
( 2c6b, 547f ) ( 3043, 547f )
( cf1, 143f ) ( 1321, 143f )
( 2b21, 982d ) ( 83ad, 982d )
( 31bb, 3b8f ) ( a73, 3b8f )
( 2bd3, 3677 ) ( 17ab, 3677 )
( 6631, 7b53 ) ( 2fd1, 7b53 )
( 239b, 3563 ) ( 27a3, 3563 )
( 5ba3, 9be9 ) ( 1e03, 9be9 )
( 1085, 57fb ) ( 268d, 57fb )
( 4601, 49c1 ) ( 4505, 49c1 )
( 3341, 4aa5 ) ( 4541, 4aa5 )
( b5b5, daa5 ) ( c2bd, daa5 )
( c0d, 46ab ) ( 22ed, 46ab )
( 16c3, 2fa1 ) ( 25ab, 2fa1 )
( c3b, 1c91 ) ( 1af, 1c91 )
( 30b9, 8849 ) ( 793d, 8849 )
( 1def, 3c2b ) ( 16f, 3c2b )
( 74e7, 8713 ) ( 7d3f, 8713 )
( 75d, 288b ) ( 2275, 288b )
( 211f, 3a5d ) ( 379f, 3a5d )
( 597b, 799d ) ( 57fb, 799d )
( 2487, 2a37 ) ( 209f, 2a37 )
( 4ed7, 5d23 ) ( 647, 5d23 )
( 35b9, 5369 ) ( 3211, 5369 )
( 26cb, 288b ) ( 1063, 288b )
( 8ab, 47e7 ) ( 12b3, 47e7 )
( 655, 4921 ) ( 36fd, 4921 )
( 440f, 9179 ) ( 80ab, 9179 )
( 24a3, 9d6d ) ( 4087, 9d6d )
( 2353, b7cd ) ( 6bd7, b7cd )
( 2429, 666b ) ( 5d71, 666b )
( 63e9, 67b5 ) ( 64fd, 67b5 )
